	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
0	112651	CHEMBL656604	K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1	Homo sapiens		COS-7	=	550	nM	550	nM	IC50		IC50		=	6.26	InChI=1S/C24H34N2O/c1-21(2)19-27-20-24(25-15-9-10-16-25)18-26(23-13-7-4-8-14-23)17-22-11-5-3-6-12-22/h3-8,11-14,21,24H,9-10,15-20H2,1-2H3	CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
1	65351	CHEMBL875385	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	34400	nM	34400	nM	IC50		IC50		=	4.46	InChI=1S/C19H22F2N4O3/c1-8-5-24(6-9(2)23-8)17-13(20)15(22)12-16(14(17)21)25(10-3-4-10)7-11(18(12)26)19(27)28/h7-10,23H,3-6,22H2,1-2H3,(H,27,28)/t8-,9+	C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O
2	6216	CHEMBL662311	K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1	Homo sapiens			=	1470	nM	1470	nM	IC50		IC50		=	5.83	InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
3	1543376	CHEMBL691013	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	5950	nM	5950	nM	IC50		IC50		=	5.23	InChI=1S/C19H20N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,20H,5-8,10H2/t11-,12-,13+,14+	O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45
4	65605	CHEMBL691013	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	0.9	nM	0.9	nM	IC50		IC50		=	9.05	InChI=1S/C28H31FN4O/c1-34-25-12-8-21(9-13-25)14-17-32-18-15-24(16-19-32)30-28-31-26-4-2-3-5-27(26)33(28)20-22-6-10-23(29)11-7-22/h2-13,24H,14-20H2,1H3,(H,30,31)	COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
5	152751	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	32.2	nM	32.2	nM	IC50		IC50		=	7.49	InChI=1S/C22H22FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-11H,3,6,12-15H2,(H,24,28)	Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34
6	1219	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	143	nM	143	nM	IC50		IC50		=	6.85	InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
7	110803	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	173	nM	173	nM	IC50		IC50		=	6.76	InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1
8	10813	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	14	nM	14	nM	IC50		IC50		=	7.85	InChI=1S/C24H26ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-6,15-17H,7-14H2,(H,27,31)	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
9	410802	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	100000	nM	100000	nM	IC50		IC50		=	4.00	InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
10	5638	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	15	nM	15	nM	IC50		IC50		=	7.82	InChI=1S/C19H27N3O5S2/c1-22(13-12-16-4-6-17(7-5-16)20-28(2,23)24)14-15-27-19-10-8-18(9-11-19)21-29(3,25)26/h4-11,20-21H,12-15H2,1-3H3	CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
11	3859	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	28.1	nM	28.1	nM	IC50		IC50		=	7.55	InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2	OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
12	19569	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	204	nM	204	nM	IC50		IC50		=	6.69	InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3	CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
13	54547	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	3730	nM	3730	nM	IC50		IC50		=	5.43	InChI=1S/C18H24N4O/c1-21-13-6-5-7-14(21)11-12(10-13)19-18(23)17-15-8-3-4-9-16(15)22(2)20-17/h3-4,8-9,12-14H,5-7,10-11H2,1-2H3,(H,19,23)	CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34
14	364141	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	18	nM	18	nM	IC50		IC50		=	7.75	InChI=1S/C28H29F2N3O/c29-22-11-7-20(8-12-22)25(21-9-13-23(30)14-10-21)4-3-17-32-18-15-24(16-19-32)33-27-6-2-1-5-26(27)31-28(33)34/h1-2,5-14,24-25H,3-4,15-19H2,(H,31,34)	Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
15	557741	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	6.5	nM	6.5	nM	IC50		IC50		=	8.19	InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)	COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
16	81683	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	21570	nM	21570	nM	IC50		IC50		=	4.67	InChI=1S/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)	CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
17	152611	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	7.7	nM	7.7	nM	IC50		IC50		=	8.11	InChI=1S/C21H27N3O3S/c1-16-4-3-5-19(22-16)12-15-24-13-10-18(11-14-24)21(25)17-6-8-20(9-7-17)23-28(2,26)27/h3-9,18,23H,10-15H2,1-2H3	Cc1cccc(CCN2CCC(CC2)C(=O)c3ccc(NS(=O)(=O)C)cc3)n1
18	364745	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	162	nM	162	nM	IC50		IC50		=	6.79	InChI=1S/C22H24ClN5O2/c23-15-6-7-20-18(14-15)25-22(30)28(20)16-8-12-26(13-9-16)10-3-11-27-19-5-2-1-4-17(19)24-21(27)29/h1-2,4-7,14,16H,3,8-13H2,(H,24,29)(H,25,30)	Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1
19	1278	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	17300	nM	17300	nM	IC50		IC50		=	4.76	InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1	COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C
20	152819	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	350	nM	350	nM	IC50		IC50		=	6.46	InChI=1S/C24H25FN6O/c1-29(23-26-13-10-22(32)28-23)19-11-14-30(15-12-19)24-27-20-4-2-3-5-21(20)31(24)16-17-6-8-18(25)9-7-17/h2-10,13,19H,11-12,14-16H2,1H3,(H,26,28,32)	CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5
21	5970	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	35.7	nM	35.7	nM	IC50		IC50		=	7.45	InChI=1S/C21H26N2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(24-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3	CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
22	5582	CHEMBL749472	K+ channel blocking activity in neuroblastoma cells expressing HERG Kv11.1	Homo sapiens			=	74000	nM	74000	nM	IC50		IC50		=	4.13	InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)	COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
23	81899	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	88	nM	88	nM	IC50		IC50		=	7.06	InChI=1S/C24H27ClN4O/c25-19-6-7-23-21(16-19)22(17-29(23)20-4-2-1-3-5-20)18-8-11-27(12-9-18)14-15-28-13-10-26-24(28)30/h1-7,16-18H,8-15H2,(H,26,30)	Clc1ccc2c(c1)c(cn2c3ccccc3)C4CCN(CCN5CCNC5=O)CC4
24	81898	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	137	nM	137	nM	IC50		IC50		=	6.86	InChI=1S/C24H33ClN4O/c25-19-6-7-23-21(16-19)22(17-29(23)20-4-2-1-3-5-20)18-8-11-27(12-9-18)14-15-28-13-10-26-24(28)30/h6-7,16-18,20H,1-5,8-15H2,(H,26,30)	Clc1ccc2c(c1)c(cn2C3CCCCC3)C4CCN(CCN5CCNC5=O)CC4
25	81742	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	1480	nM	1480	nM	IC50		IC50		=	5.83	InChI=1S/C19H19ClFN/c1-3-13(4-2)18-12-22(16-8-6-15(21)7-9-16)19-10-5-14(20)11-17(18)19/h5-13H,3-4H2,1-2H3	CCC(CC)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
26	10942	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	10	nM	10	nM	IC50		IC50		=	8.00	InChI=1S/C24H24ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-7,15-16H,8-14H2,(H,27,31)	Fc1ccc(cc1)n2cc(C3=CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
27	81335	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	>	10000	nM	10000	nM	IC50		IC50		>		InChI=1S/C18H18FN/c1-18(2,3)14-4-9-17-13(12-14)10-11-20(17)16-7-5-15(19)6-8-16/h4-12H,1-3H3	CC(C)(C)c1ccc2c(ccn2c3ccc(F)cc3)c1
28	81178	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	23.5	nM	23.5	nM	IC50		IC50		=	7.63	InChI=1S/C24H29FN4O/c25-19-5-7-20(8-6-19)29-17-22(21-3-1-2-4-23(21)29)18-9-12-27(13-10-18)15-16-28-14-11-26-24(28)30/h1-8,18,22H,9-17H2,(H,26,30)	Fc1ccc(cc1)N2CC(C3CCN(CCN4CCNC4=O)CC3)c5ccccc25
29	557741	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	45	nM	45	nM	IC50		IC50		=	7.35	InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)	COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
30	1219	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	143	nM	143	nM	IC50		IC50		=	6.85	InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
31	81840	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	579	nM	579	nM	IC50		IC50		=	6.24	InChI=1S/C26H29ClN4O3/c27-20-3-6-24-22(16-20)23(17-31(24)21-4-1-18(2-5-21)15-25(32)33)19-7-10-29(11-8-19)13-14-30-12-9-28-26(30)34/h1-6,16-17,19H,7-15H2,(H,28,34)(H,32,33)	OC(=O)Cc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
32	19569	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	56	nM	56	nM	IC50		IC50		=	7.25	InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3	CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
33	80424	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	6.2	nM	6.2	nM	IC50		IC50		=	8.21	InChI=1S/C24H27FN4S/c25-19-5-7-20(8-6-19)29-17-22(21-3-1-2-4-23(21)29)18-9-12-27(13-10-18)15-16-28-14-11-26-24(28)30/h1-8,17-18H,9-16H2,(H,26,30)	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCN=C4S)CC3)c5ccccc25
34	81740	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	15700	nM	15700	nM	IC50		IC50		=	4.80	InChI=1S/C19H19ClFNO/c1-3-19(23,4-2)17-12-22(15-8-6-14(21)7-9-15)18-10-5-13(20)11-16(17)18/h5-12,23H,3-4H2,1-2H3	CCC(O)(CC)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
35	81784	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	75000	nM	75000	nM	IC50		IC50		=	4.13	InChI=1S/C25H27ClN4O3/c26-19-3-6-23-21(15-19)22(16-30(23)20-4-1-18(2-5-20)24(31)32)17-7-10-28(11-8-17)13-14-29-12-9-27-25(29)33/h1-6,15-17H,7-14H2,(H,27,33)(H,31,32)	OC(=O)c1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
36	5638	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	10	nM	10	nM	IC50		IC50		=	8.00	InChI=1S/C19H27N3O5S2/c1-22(13-12-16-4-6-17(7-5-16)20-28(2,23)24)14-15-27-19-10-8-18(9-11-19)21-29(3,25)26/h4-11,20-21H,12-15H2,1-3H3	CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
37	80870	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	>	10000	nM	10000	nM	IC50		IC50		>		InChI=1S/C16H11ClFNO/c1-10(20)15-9-19(13-5-3-12(18)4-6-13)16-7-2-11(17)8-14(15)16/h2-9H,1H3	CC(=O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
